# Force coefficients
# liftDir    : (0.000000e+00 0.000000e+00 1.000000e+00)
# dragDir    : (1.000000e+00 0.000000e+00 0.000000e+00)
# pitchAxis  : (0.000000e+00 1.000000e+00 0.000000e+00)
# magUInf    : 1.500000e+00
# lRef       : 1.000000e+00
# Aref       : 1.000000e-01
# CofR       : (2.500000e-01 0.000000e+00 0.000000e+00)
# Time       	Cm           	Cd           	Cl           	Cl(f)        	Cl(r)        
1            	-3.251794e+01	2.849782e+02	6.489348e+02	2.919495e+02	3.569853e+02
2            	-1.629041e+01	1.932411e+02	4.803404e+02	2.238798e+02	2.564606e+02
3            	8.368526e+00	-1.830220e+01	-3.042595e+01	-6.844451e+00	-2.358150e+01
4            	1.306121e+01	-1.205297e+02	-3.023657e+02	-1.381217e+02	-1.642441e+02
5            	2.988660e+00	-8.202466e+01	-2.128393e+02	-1.034310e+02	-1.094083e+02
6            	-5.143142e+00	5.085399e-01	3.245478e+00	-3.520403e+00	6.765881e+00
7            	-5.378840e+00	4.682006e+01	1.224081e+02	5.582521e+01	6.658289e+01
8            	-1.483663e+00	3.854284e+01	9.673029e+01	4.688148e+01	4.984881e+01
9            	1.267420e+00	8.551190e+00	1.653492e+01	9.534882e+00	7.000042e+00
10           	1.688930e+00	-1.108603e+01	-3.208633e+01	-1.435424e+01	-1.773210e+01
11           	1.115610e+00	-1.371395e+01	-3.435427e+01	-1.606152e+01	-1.829274e+01
12           	5.955227e-01	-7.320089e+00	-1.416607e+01	-6.487511e+00	-7.678556e+00
13           	-1.939464e-03	3.852393e-01	3.987223e+00	1.991672e+00	1.995551e+00
14           	-6.029677e-01	5.172525e+00	1.257482e+01	5.684442e+00	6.890377e+00
15           	-7.962401e-01	6.098740e+00	1.278301e+01	5.595263e+00	7.187743e+00
16           	-4.030341e-01	3.756021e+00	7.514001e+00	3.353966e+00	4.160035e+00
17           	2.227735e-01	1.266454e-01	1.897371e-01	3.176420e-01	-1.279049e-01
18           	5.814119e-01	-2.209270e+00	-4.579579e+00	-1.708378e+00	-2.871201e+00
19           	5.217563e-01	-2.052088e+00	-4.305664e+00	-1.631075e+00	-2.674588e+00
20           	1.999393e-01	-1.348102e-01	-5.938954e-02	1.702445e-01	-2.296340e-01
21           	-1.071419e-01	1.744581e+00	3.896689e+00	1.841203e+00	2.055486e+00
22           	-2.216825e-01	2.266315e+00	5.039679e+00	2.298157e+00	2.741522e+00
23           	-1.464598e-01	1.469211e+00	3.100113e+00	1.403597e+00	1.696516e+00
24           	1.593690e-02	3.742082e-01	5.591057e-01	2.954897e-01	2.636159e-01
25           	1.717408e-01	-1.647031e-01	-4.155754e-01	-3.604684e-02	-3.795285e-01
26           	2.539315e-01	2.403024e-02	2.649872e-01	3.864251e-01	-1.214379e-01
27           	2.223370e-01	5.238714e-01	1.495405e+00	9.700396e-01	5.253657e-01
28           	1.187133e-01	8.610056e-01	2.154185e+00	1.195806e+00	9.583793e-01
29           	2.800401e-02	8.683665e-01	1.971393e+00	1.013700e+00	9.576923e-01
30           	2.537087e-03	6.646982e-01	1.397576e+00	7.013251e-01	6.962510e-01
31           	4.125742e-02	4.731727e-01	9.939973e-01	5.382561e-01	4.557412e-01
32           	1.040635e-01	4.163161e-01	9.764364e-01	5.922817e-01	3.841547e-01
33           	1.497345e-01	4.614210e-01	1.191942e+00	7.457054e-01	4.462363e-01
34           	1.546410e-01	5.471003e-01	1.397782e+00	8.535319e-01	5.442498e-01
35           	1.308811e-01	5.860517e-01	1.433842e+00	8.478023e-01	5.860400e-01
36           	1.024077e-01	5.732187e-01	1.347275e+00	7.760450e-01	5.712295e-01
37           	8.828191e-02	5.389487e-01	1.249269e+00	7.129164e-01	5.363526e-01
38           	9.328695e-02	5.132152e-01	1.207834e+00	6.972039e-01	5.106300e-01
39           	1.086612e-01	5.013652e-01	1.218778e+00	7.180503e-01	5.007280e-01
40           	1.251362e-01	5.020091e-01	1.251269e+00	7.507707e-01	5.004983e-01
41           	1.322756e-01	5.030776e-01	1.255039e+00	7.597952e-01	4.952439e-01
42           	1.293120e-01	5.045158e-01	1.241831e+00	7.502274e-01	4.916035e-01
43           	1.222074e-01	5.028220e-01	1.223935e+00	7.341751e-01	4.897602e-01
44           	1.168912e-01	5.013569e-01	1.217700e+00	7.257411e-01	4.919586e-01
45           	1.166162e-01	4.998452e-01	1.218517e+00	7.258749e-01	4.926424e-01
46           	1.208140e-01	4.943656e-01	1.221180e+00	7.314042e-01	4.897762e-01
47           	1.267943e-01	4.914975e-01	1.221759e+00	7.376740e-01	4.840853e-01
48           	1.308170e-01	4.865061e-01	1.211291e+00	7.364627e-01	4.748287e-01
49           	1.319399e-01	4.813722e-01	1.198837e+00	7.313582e-01	4.674784e-01
50           	1.310933e-01	4.775304e-01	1.190095e+00	7.261406e-01	4.639540e-01
51           	1.297483e-01	4.765077e-01	1.185384e+00	7.224405e-01	4.629438e-01
52           	1.295334e-01	4.754668e-01	1.185062e+00	7.220641e-01	4.629974e-01
53           	1.309687e-01	4.731469e-01	1.186176e+00	7.240566e-01	4.621193e-01
54           	1.328136e-01	4.715573e-01	1.185441e+00	7.255340e-01	4.599068e-01
55           	1.347177e-01	4.691534e-01	1.182010e+00	7.257224e-01	4.562871e-01
56           	1.360414e-01	4.659410e-01	1.177033e+00	7.245579e-01	4.524752e-01
57           	1.368013e-01	4.632785e-01	1.171194e+00	7.223985e-01	4.487959e-01
58           	1.372451e-01	4.608299e-01	1.166478e+00	7.204839e-01	4.459937e-01
59           	1.375620e-01	4.588714e-01	1.163565e+00	7.193447e-01	4.442208e-01
60           	1.380931e-01	4.573165e-01	1.162011e+00	7.190985e-01	4.429123e-01
61           	1.388501e-01	4.558387e-01	1.160690e+00	7.191953e-01	4.414951e-01
62           	1.396735e-01	4.544974e-01	1.158989e+00	7.191679e-01	4.398209e-01
63           	1.406793e-01	4.523958e-01	1.156715e+00	7.190367e-01	4.376781e-01
64           	1.414942e-01	4.508361e-01	1.154192e+00	7.185902e-01	4.356018e-01
65           	1.423280e-01	4.485314e-01	1.150636e+00	7.176460e-01	4.329900e-01
66           	1.430014e-01	4.464678e-01	1.147301e+00	7.166519e-01	4.306492e-01
67           	1.434663e-01	4.450304e-01	1.144838e+00	7.158855e-01	4.289528e-01
68           	1.439523e-01	4.434650e-01	1.142606e+00	7.152553e-01	4.273507e-01
69           	1.446193e-01	4.414648e-01	1.140473e+00	7.148556e-01	4.256171e-01
70           	1.453420e-01	4.400990e-01	1.138965e+00	7.148246e-01	4.241406e-01
71           	1.459870e-01	4.390352e-01	1.137746e+00	7.148597e-01	4.228858e-01
72           	1.465810e-01	4.378463e-01	1.136344e+00	7.147531e-01	4.215911e-01
73           	1.471270e-01	4.366943e-01	1.134781e+00	7.145174e-01	4.202634e-01
74           	1.477038e-01	4.353186e-01	1.132917e+00	7.141622e-01	4.187545e-01
75           	1.483728e-01	4.335575e-01	1.130745e+00	7.137455e-01	4.169999e-01
76           	1.489585e-01	4.323618e-01	1.128913e+00	7.134147e-01	4.154978e-01
77           	1.494804e-01	4.311120e-01	1.127203e+00	7.130818e-01	4.141209e-01
78           	1.501457e-01	4.293197e-01	1.125316e+00	7.128035e-01	4.125120e-01
79           	1.506761e-01	4.282070e-01	1.123929e+00	7.126407e-01	4.112885e-01
80           	1.511763e-01	4.272486e-01	1.122704e+00	7.125284e-01	4.101759e-01
81           	1.517228e-01	4.261620e-01	1.121377e+00	7.124114e-01	4.089659e-01
82           	1.522585e-01	4.250480e-01	1.120131e+00	7.123240e-01	4.078070e-01
83           	1.527790e-01	4.240141e-01	1.119012e+00	7.122852e-01	4.067272e-01
84           	1.533500e-01	4.228787e-01	1.117995e+00	7.123473e-01	4.056474e-01
85           	1.537818e-01	4.220024e-01	1.116879e+00	7.122214e-01	4.046578e-01
86           	1.542827e-01	4.209823e-01	1.115667e+00	7.121160e-01	4.035506e-01
87           	1.547926e-01	4.200934e-01	1.114537e+00	7.120612e-01	4.024759e-01
88           	1.553906e-01	4.188319e-01	1.113287e+00	7.120340e-01	4.012528e-01
89           	1.560446e-01	4.176255e-01	1.112070e+00	7.120796e-01	3.999903e-01
90           	1.564368e-01	4.168300e-01	1.111060e+00	7.119670e-01	3.990935e-01
91           	1.568873e-01	4.159189e-01	1.110047e+00	7.119105e-01	3.981360e-01
92           	1.574933e-01	4.148278e-01	1.109048e+00	7.120174e-01	3.970309e-01
93           	1.579950e-01	4.139782e-01	1.108234e+00	7.121123e-01	3.961222e-01
94           	1.583419e-01	4.133370e-01	1.107559e+00	7.121212e-01	3.954373e-01
95           	1.587728e-01	4.126963e-01	1.106923e+00	7.122341e-01	3.946885e-01
96           	1.594374e-01	4.114841e-01	1.106142e+00	7.125082e-01	3.936335e-01
97           	1.599506e-01	4.107464e-01	1.105423e+00	7.126619e-01	3.927607e-01
98           	1.604431e-01	4.100179e-01	1.104668e+00	7.127771e-01	3.918909e-01
99           	1.609606e-01	4.091362e-01	1.103865e+00	7.128932e-01	3.909720e-01
100          	1.614576e-01	4.082780e-01	1.103118e+00	7.130164e-01	3.901012e-01
101          	1.619314e-01	4.075215e-01	1.102475e+00	7.131687e-01	3.893059e-01
102          	1.624036e-01	4.068082e-01	1.101909e+00	7.133583e-01	3.885511e-01
103          	1.628851e-01	4.060838e-01	1.101378e+00	7.135742e-01	3.878039e-01
104          	1.634462e-01	4.053483e-01	1.100922e+00	7.139073e-01	3.870148e-01
105          	1.638540e-01	4.046948e-01	1.100431e+00	7.140695e-01	3.863615e-01
106          	1.643140e-01	4.040396e-01	1.100029e+00	7.143286e-01	3.857007e-01
107          	1.647804e-01	4.035182e-01	1.099687e+00	7.146239e-01	3.850631e-01
108          	1.653957e-01	4.026500e-01	1.099401e+00	7.150963e-01	3.843048e-01
109          	1.658146e-01	4.020506e-01	1.099050e+00	7.153396e-01	3.837105e-01
110          	1.662566e-01	4.015109e-01	1.098756e+00	7.156346e-01	3.831215e-01
111          	1.667491e-01	4.008801e-01	1.098471e+00	7.159848e-01	3.824867e-01
112          	1.671899e-01	4.003811e-01	1.098192e+00	7.162857e-01	3.819059e-01
113          	1.677715e-01	3.995710e-01	1.097974e+00	7.167583e-01	3.812153e-01
114          	1.681905e-01	3.990484e-01	1.097765e+00	7.170732e-01	3.806922e-01
115          	1.686451e-01	3.985799e-01	1.097654e+00	7.174720e-01	3.801818e-01
116          	1.692252e-01	3.980429e-01	1.097705e+00	7.180779e-01	3.796275e-01
117          	1.696360e-01	3.974932e-01	1.097530e+00	7.184011e-01	3.791292e-01
118          	1.700770e-01	3.969744e-01	1.097416e+00	7.187851e-01	3.786312e-01
